"Internet of Things" AND "Health"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3023364","Jian  Wu and Roozbeh  Jafari","","","","Seamless Vision-assisted Placement Calibration for Wearable Inertial Sensors","71:1--71:22","71","22","Kinect, On-body device localization, Wahba&#8217;s problem, inertial measurement unit (IMU), vision-assisted calibration","10.1145/3023364","ACM Trans. Embed. Comput. Syst.","July 2017","16","3","","July","2017","1539-9087","","","","","","ACM","New York, NY, USA"
"article","2905320","Vangipuram  Radhakrishna and P. V. Kumar and V.  Janaki","","","","Mining Outlier Temporal Association Patterns","105:1--105:6","105","6","Association Pattern, Temporal Similarity, Temporal support, outliers, temporal database","10.1145/2905055.2905320","","","","","","","2016","","Proceedings of the Second International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '16","","978-1-4503-3962-9","Udaipur, India","ACM","New York, NY, USA"
"article","3140089","Josu&#233;  Pag&#225;n and Jos&#233; M. Moya and Jos&#233; L. Risco-Mart&#237;n and Jos&#233; L. Ayala","","","","Advanced Migraine Prediction Simulation System","24:1--24:12","24","12","failure detector, migraine prediction, robust system","","","","","","","","2017","","Proceedings of the Summer Simulation Multi-Conference","SummerSim '17","","","Bellevue, Washington","Society for Computer Simulation International","San Diego, CA, USA"
"article","3108936","M. Mazhar Rathore and Anand  Paul and Awais  Ahmad and Marco  Anisetti and Gwanggil  Jeon","","","","Hadoop-Based Intelligent Care System (HICS): Analytical Approach for Big Data in IoT","8:1--8:24","8","24","Big Data, IoT, PMD, healthcare, intelligent building","10.1145/3108936","ACM Trans. Internet Technol.","December 2017","18","1","","November","2017","1533-5399","","","","","","ACM","New York, NY, USA"
"article","2700261","Jeonggil  Ko and Jongsoo  Jeong and Jongjun  Park and Jong Arm  Jun and Omprakash  Gnawali and Jeongyeup  Paek","","","","DualMOP-RPL: Supporting Multiple Modes of Downward Routing in a Single RPL Network","39:1--39:20","39","20","RPL, Wireless sensor networks, downward routing, interoperability, low-power lossy network, mesh network, routing protocol","10.1145/2700261","ACM Trans. Sen. Netw.","February 2015","11","2","","March","2015","1550-4859","","","","","","ACM","New York, NY, USA"
"article","2661713","Ben A. Amaba","","","","Industrial and Business Systems for Smart Cities","21--22","","2","Smart Cities, engineering","10.1145/2661704.2661713","","","","","","","2014","","Proceedings of the 1st International Workshop on Emerging Multimedia Applications and Services for Smart Cities","EMASC '14","","978-1-4503-3126-5","Orlando, Florida, USA","ACM","New York, NY, USA"
"proceeding","3038912","","","","General Chair-Rick  Barrett and General Chair-Rick  Cummings and Program Chair-Eugene  Agichtein and Program Chair-Evgeniy  Gabrilovich","","","","","","","","","","","","","2017","","Proceedings of the 26th International Conference on World Wide Web","","","978-1-4503-4913-0","Perth, Australia","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","1851324","Sanjoy  Paul","","","","Role of Mobile Handhelds in Redefining How We Work, Live and Experience the World Around Us: Some Challenges and Opportunities","1--2","","2","mobile applications","10.1145/1851322.1851324","","","","","","","2010","","Proceedings of the Second ACM SIGCOMM Workshop on Networking, Systems, and Applications on Mobile Handhelds","MobiHeld '10","","978-1-4503-0197-8","New Delhi, India","ACM","New York, NY, USA"
"proceeding","2591513","","","","General Chair-Joseph R. Cavallaro and General Chair-Tong  Zhang and Program Chair-Alex K. Jones and Program Chair-Hai (Helen)  Li","","","","","","","","","","","","","2014","","Proceedings of the 24th Edition of the Great Lakes Symposium on VLSI","","","978-1-4503-2816-6","Houston, Texas, USA","ACM","New York, NY, USA"
"proceeding","3041021","","","","General Chair-Rick  Barrett and General Chair-Rick  Cummings and Program Chair-Eugene  Agichtein and Program Chair-Evgeniy  Gabrilovich","","","","","","","","","","","","","2017","","Proceedings of the 26th International Conference on World Wide Web Companion","","","978-1-4503-4914-7","Perth, Australia","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3140377","Swarup  Chandra and Vishal M. Karande and Latifur R. Khan","","","","Secure IoT Stream Data Management and Analytics with Intel SGX","37--37","","1","privacy, security, sgx, trusted computing","10.1145/3140368.3140377","","","","","","","2017","","Proceedings of the 2017 Workshop on Automated Decision Making for Active Cyber Defense","SafeConfig '17","","978-1-4503-5203-1","Dallas, Texas, USA","ACM","New York, NY, USA"
"article","2727096","Fco Javier Ord&#243;&#241;ez and Paula  Toledo and Araceli  Sanchis","","","","Sensor-based Bayesian Detection of Anomalous Living Patterns in a Home Setting","259--270","","12","Anomaly detection, Bayesian statistics, Behavior patterns, Wireless sensor networks","10.1007/s00779-014-0820-1","Personal Ubiquitous Comput.","February  2015","19","2","","February","2015","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2387241","Antonio A.F. Loureiro","","","","Sensing, Tracking and Contextualizing Entities in Ubiquitous Computing","3--4","","2","context, sensing, tracking, ubiquitous computing","10.1145/2387238.2387241","","","","","","","2012","","Proceedings of the 15th ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems","MSWiM '12","","978-1-4503-1628-6","Paphos, Cyprus","ACM","New York, NY, USA"
